"ID";"NominationYear";"Name";"Author";"PubYear";"AgeLimit";"PublishingHouse";"LitPrizeName";"Nomination";"global_id";
"231";"2020";"Библиотека литературы Древней Руси. Т.8. XIV - первая пол. XVI века";"Антология";"2003";"0+";"Наука";"Книга года";"Гран-при";"1124004868";
"232";"2020";"Библиотека литературы Древней Руси. Т.9. XV - первая пол. XVI века";"Антология";"2006";"0+";"Наука";"Книга года";"Гран-при";"1124004874";
"233";"2020";"Космос. Иллюстрированная история астрономии и космологии";"Норт Джон";"2020";"0+";"Новое литературное обозрение";"Просветитель";"Номинация «Естественные и точные науки»";"1124004880";
"234";"2020";"Время банкетов: Политика и символика одного поколения (1818–1848)";"Робер Венсан";"2019";"0+";"Новое литературное обозрение";"Просветитель";"Номинация «Гуманитарные науки»";"1124004887";
"235";"2020";"Оттепель: События. Март 1953 – август 1968 года";"Чупринин Сергей";"2020";"0+";"Новое литературное обозрение";"Просветитель";"Номинация «Гуманитарные науки»";"1124004894";
"236";"2020";"Банк 4.0: Новая финансовая реальность";"Бретт Кинг";"2020";"12+";"Олимп-бизнес";"Деловая книга года в России";"Лауреат «Лучшая книга зарубежного автора»";"1124004899";
"237";"2020";"Маленькая книга о черных дырах";"Габсер Стивен Преториус Франс";"2019";"16+";"Питер";"Просветитель";"Номинация «Естественные и точные науки»";"1124004906";
"238";"2020";"Суд народов";"Звягинцев Александр";"2020";"16+";"Рипол Классик";"Книга года";"Номинация «День победы» Победитель";"1124004912";
"239";"2020";"И звук и отзвук: из разных книг";"Чухонцев Олег";"2020";"18+";"Рутения (БСГ)";"Книга года";"Номинация «Поэзия года» Победитель";"1124004918";
"240";"2020";"Джеймс Миранда Барри";"Данкер Патрисия";"2020";"16+";"Синдбад";"Ясная поляна";"Номинация «Иностранная литература» Лауреат";"1124004925";
"241";"2020";"Рассказы о двукрылых";"Вихрев Никита";"2019";"12+";"Фитон";"Просветитель";"Номинация «Естественные и точные науки»";"1124004930";
"242";"2020";"Предместья мысли. Философическая прогулка";"Макушинский Алексей";"2020";"16+";"Эксмо";"Большая книга";"Выбор народного читательского голосования";"1124004935";
"243";"2020";"Молочник";"Бернс Анна";"2019";"18+";"Эксмо";"Ясная поляна";"Номинация «Иностранная литература» Лонг-лист";"1124004941";
"244";"2020";"Средневековье крупным планом";"Воскобойников Олег";"2020";"12+";"Эксмо";"Просветитель";"Номинация «Гуманитарные науки»";"1124004948";
"245";"2020";"Наполеонов обоз, кн.1";"Рубина Дина";"2019";"18+";"Эксмо";"Большая книга";"Выбор народного читательского голосования";"1124005014";
"246";"2020";"Наполеонов обоз, кн.2";"Рубина Дина";"2019";"18+";"Эксмо";"Большая книга";"Выбор народного читательского голосования";"1124005080";
"247";"2020";"Наполеонов обоз, кн.3";"Рубина Дина";"2019";"18+";"Эксмо";"Большая книга";"Выбор народного читательского голосования";"1124005113";
"248";"2020";"Стартап на миллиард. Пошаговое руководство по созданию диджитал-бизнеса";"Спиридонов Максим Макович Вячеслав";"2019";"16+";"Эксмо";"Деловая книга года в России";"Лауреат «Лучшая книга российского автора»";"1124005123";
"249";"2020";"Драйверы роста. Как средней компании стать гигантом";"Молчанов Николай";"2019";"16+";"Эксмо";"Деловая книга года в России";"Лауреат «Лучшая книга в помощь бизнесу»";"1124005130";
